ID	Name	Designator	Footprint	Quantity	Supplier	Supplier Part
1	ARDUINO_PRO_MINI	U3	ARDUINO_PRO_MINI	1		
2	JOYSTICKPTH	U1,U2	JOYSTICK	2		
3	NRF24L01+	IC1	NRF24L01	1		
4	3.3uF	C1,C2	B45181A	2		
5	LED3MM	D4,D5	LED3MM	2		
6	150R	R5,R6,R3	0207/10	3		
7	SWITCH-MOMENTARY-2PTH	S2,S3,S4,S5	TACTILE-PTH	4		
8	A3L-LOC	FRAME1		1		
9	100uF	C3	E2,5-7	1		
10	MOUNT-PAD-ROUND3.2	H1,H2,H3,H4	3,2-PAD	4		
11	BC337-25	Q1	TO92	1		
12	1k	R7	0207/10	1		
13	LED5MM	D2,D3	LED5MM	2		
14	1N4001	D1	DO41-10	1		
15	10R	R4	0207/10	1		
16	20k	R1	0207/10	1		
17	10k	R2	0207/10	1		
18	4X_AA_BATTERY_HOLDER	G1	4X_AA_BATTERY_HOLDER	1		
19	"0.96\""_I2C_OLED2"	U4	0.96&QUOT;_I2C_OLED_2	1		
20	PINHD-1X4	JP1	1X04	1		
21	PINHD-1X3	JP2	1X03	1		
22	OSHW-LOGOM	LOGO1	OSHW-LOGO-M	1		
23	1117-3.3	IC2	SOT223	1		
24	10uF	C4	EIA3216	1		
25	100nF	C5	C0805	1		
26	EG1213	S1	EG1213	1		

